"This data table captures Program Reach Index data. It provides data on CalFresh eligible individuals, the estimate frequency, and the PRI percentage. The table begins in cell A2. ",,,,,,,,,
County,FIPS,County Center X,County Center Y,Consortium,Calendar Year,CalFresh Eligibles CY,PRI Estimate Frequency,5 Year Estimate,PRI
San Joaquin,US-06077,-120.9449271,37.889845,C-IV,2017.0,127460.301377,Annual Est.,,0.842073954322
San Luis Obispo,US-06079,-120.1080592,35.34633,CalWIN,2017.0,36346.9400592,Annual Est.,,0.466063992524
San Mateo,US-06081,-122.2406398,37.407705,CalWIN,2017.0,51253.5443297,Annual Est.,,0.509428183777
Santa Barbara,US-06083,-120.0351675,34.743715,CalWIN,2017.0,61311.0392826,Annual Est.,,0.621535704596
Santa Clara,US-06085,-121.6161794,37.18939,CalWIN,2017.0,153354.135175,Annual Est.,,0.600459843452
Santa Cruz,US-06087,-122.0401593,37.06834,CalWIN,2017.0,39383.3097135,Annual Est.,,0.659314826227
Shasta,US-06089,-122.0883555,40.735175,C-IV,2017.0,34851.6856994,Annual Est.,,0.667055252378
Sierra,US-06091,-120.0617973,39.58418,C-IV,2017.0,485.0,5-yr. Est.,2013-2017,0.561
Siskiyou,US-06093,-122.5559892,41.5008525,C-IV,2017.0,9921.0,5-yr. Est.,2013-2017,0.647
Solano,US-06095,-121.6688337,38.2894915,CalWIN,2017.0,50357.2255433,Annual Est.,,0.785825660033
Sonoma,US-06097,-122.7518161,38.481733,CalWIN,2017.0,52611.8481531,Annual Est.,,0.577436472325
Stanislaus,US-06099,-120.8981857,37.606095,C-IV,2017.0,78805.8867086,Annual Est.,,1.0
Sutter,US-06101,-121.714735,39.02038,C-IV,2017.0,12141.7953011,Annual Est.,,1.0
Tehama,US-06103,-122.6595518,40.125305,C-IV,2017.0,15328.0,5-yr. Est.,2013-2017,0.601
Trinity,US-06105,-123.5069171,40.672495,C-IV,2017.0,3209.0,5-yr. Est.,2013-2017,0.729
Tulare,US-06107,-119.0889841,36.266965,CalWIN,2017.0,119348.371987,Annual Est.,,0.994458475003
Tuolumne,US-06109,-120.0954221,38.03354,C-IV,2017.0,8117.0,5-yr. Est.,2013-2017,0.614
Ventura,US-06111,-119.0838699,34.47326,CalWIN,2017.0,96226.5023599,Annual Est.,,0.72896757421
Yolo,US-06113,-121.9008022,38.619495,CalWIN,2017.0,43938.9720169,Annual Est.,,0.434033822928
Yuba,US-06115,-121.499162,39.278915,C-IV,2017.0,11486.5719568,Annual Est.,,1.0
