"This data table captures quarterly churn data on the percentage of reapplications in 30 days, 90 days, and the percentage of scheduled recertifications for 30 days, and 90 days. The data table begins in cell A2. ",,,,,,,,,,
County,FIPS,County Center X,County Center Y,Consortium,Calendar Year,Quarter,30 Day Churn Pct of Reapplications,90 Day Churn Pct of Reapplications,30 Day Percentage of Scheduled Recertifications,90 Day Percentage of Scheduled Recertifications
Lassen,US-06035,-120.2636913,40.446085,C-IV,2014.0,Q4,0.0879,0.1401,0.2067,0.2375
Los Angeles,US-06037,-117.9879672,34.26394,LRS,2014.0,Q4,0.1218,0.21,0.0082,0.0112
Madera,US-06039,-119.84174,37.27052,C-IV,2014.0,Q4,0.1743,0.281,0.2326,0.2665
Marin,US-06041,-122.870429,38.068145,C-IV,2014.0,Q4,0.1464,0.2262,0.2276,0.2637
Mariposa,US-06043,-119.6495595,37.543615,C-IV,2014.0,Q4,0.1822,0.2639,0.1896,0.2082
Mendocino,US-06045,-123.5709822,39.380655,C-IV,2014.0,Q4,0.1716,0.2916,0.3552,0.4261
Merced,US-06047,-120.1246993,37.18687,C-IV,2014.0,Q4,0.1735,0.289,0.3532,0.396
Modoc,US-06049,-120.1993372,41.590546,C-IV,2014.0,Q4,0.1761,0.3028,0.2746,0.3099
Mono,US-06051,-118.7402371,38.0878955,C-IV,2014.0,Q4,0.0691,0.1341,0.0691,0.0813
Monterey,US-06053,-120.9044897,36.35433,C-IV,2014.0,Q4,0.2283,0.3525,0.1931,0.2186
Napa,US-06055,-122.5128064,38.509635,C-IV,2014.0,Q4,0.113,0.1833,0.2289,0.2745
Nevada,US-06057,-120.3163119,39.266135,C-IV,2014.0,Q4,0.1043,0.192,0.2215,0.2546
Orange,US-06059,-117.8002615,33.66707,CalWIN,2014.0,Q4,0.1099,0.1978,0.0855,0.1309
Placer,US-06061,-120.7858989,39.013999,CalWIN,2014.0,Q4,0.1143,0.1949,0.1022,0.1494
Plumas,US-06063,-121.1037321,40.0234855,C-IV,2014.0,Q4,0.0802,0.1451,0.2377,0.2593
Riverside,US-06065,-115.0250859,33.752845,C-IV,2014.0,Q4,0.1756,0.256,0.2376,0.2691
Sacramento,US-06067,-121.1505311,38.383079,CalWIN,2014.0,Q4,0.1175,0.197,0.0908,0.1379
San Benito,US-06069,-121.2131455,36.5928495,C-IV,2014.0,Q4,0.1587,0.2804,0.3598,0.3989
San Bernardino,US-06071,-116.6760973,34.840011,C-IV,2014.0,Q4,0.2193,0.2963,0.3198,0.3522
San Diego,US-06073,-116.693716,33.019645,CalWIN,2014.0,Q4,0.1516,0.2419,0.0875,0.1324
San Francisco,US-06075,-122.4847727,37.759845,CalWIN,2014.0,Q4,0.1198,0.2003,0.1174,0.1686
